Data,F1,F2,F3,F4 ,F5,F6,F7,F8
5/1982,0.648254376,-0.35219544,0.367657143,0.165877579,-0.153154702,0.472555092,0.068079595,0.103311722
6/1982,0.661784805,-0.235062969,0.075303869,-0.701536951,0.284680439,0.359224439,0.305803506,0.200672316
7/1982,0.783639636,0.344532581,-0.230027481,0.245224127,0.01521626,0.328038163,0.051503116,-0.013992473
8/1982,1.033041914,0.397499386,-0.101636013,0.673245809,-0.257277293,-0.021635669,0.177058533,0.241630924
9/1982,0.717535965,0.233499402,0.14990927,0.457417316,0.019764202,0.394880327,-0.388539589,0.107919263
10/1982,1.026068595,-0.035715304,0.280458829,0.675646043,-0.128915706,0.321990102,-0.165615631,0.109888078
11/1982,0.648827806,0.208313574,-0.086620631,0.295249724,0.216945922,0.338897203,-0.166662745,0.106788881
12/1982,0.432482169,0.177893537,-0.059474826,0.248462234,0.088965326,0.097884516,1.19E-02,-0.308104223
1/1983,-0.245627311,0.259688326,0.429090804,0.323508105,-0.043733531,0.545090334,0.182743978,-0.110466218
2/1983,0.20010049,0.093513041,-0.042623032,-0.096873997,0.461660547,-0.104162113,-0.214969667,-0.042034395
3/1983,-0.18215957,0.185255726,0.206835369,0.059269253,0.225947757,0.319638645,-0.269900189,0.211709433
4/1983,-0.32163412,-0.030369162,0.431860698,0.154677084,-0.036189358,0.26026489,-0.011683625,0.002023259
5/1983,-0.304146634,0.215101798,0.016820076,0.240831197,0.022335214,0.171027096,-0.164153048,-0.095060412
6/1983,-0.548442109,0.053853997,0.037896403,-0.176130366,0.313420779,0.125874765,-0.217657312,0.130844941
7/1983,-0.738070161,0.082146951,0.146206103,-0.138399177,0.139261958,0.039762819,-4.74E-03,-0.060235021
8/1983,-0.343195761,0.02253094,-0.050269845,-0.216284012,0.215343836,-0.103214106,0.186603483,-0.047001406
9/1983,-0.828574538,0.20390492,0.052610916,0.323950273,-0.300375795,0.080716758,-0.064470989,0.127327453
10/1983,-0.467638943,0.12168168,-0.00356442,0.227413285,-0.211102569,-0.165144105,-0.04214854,-0.201352816
11/1983,-0.485407276,0.009874733,-0.069388952,-0.048665524,0.022315496,-0.23801713,-0.055343437,0.084271276
12/1983,-0.542486698,0.073734168,-0.011745521,-0.047747655,0.034671077,-0.238569407,-0.1089683,0.044225206
1/1984,-0.694602344,0.010622168,0.305186939,0.2446948,-0.16325478,0.198856703,0.101343997,0.079756439
